set,scene,imgfile,seen,novel,novelmaybe,familiarmaybe,familiar
A,outside_man,sun_aputwudvfhsgcsgg.png,novel,25,10,1,NA
A,outside_man,sun_aqmtgbkdkyckgdyy.png,familiar,7,5,11,9
A,outside_man,sun_aqmtgbkdkyckgdyy.png,novel,5,4,8,5
A,outside_man,sun_aqvlqqorjorxjwnh.png,familiar,9,4,5,9
A,outside_man,sun_aqvlqqorjorxjwnh.png,novel,17,6,5,2
A,outside_man,sun_astlunkqpzghjdau.png,familiar,9,3,3,9
A,outside_man,sun_astlunkqpzghjdau.png,novel,10,11,4,3
A,outside_man,sun_auprwsaegvmiaiwa.png,familiar,7,4,11,10
A,outside_man,sun_auprwsaegvmiaiwa.png,novel,8,4,8,5
A,outside_man,sun_azxxdozadjohyntn.png,familiar,8,6,6,11
A,outside_man,sun_azxxdozadjohyntn.png,novel,9,8,1,2
A,outside_man,sun_bcwijeqsgwzynmea.png,familiar,12,7,6,3
A,outside_man,sun_bcwijeqsgwzynmea.png,novel,14,6,7,1
A,outside_man,sun_bdehddycgcokjyqy.png,familiar,14,14,2,3
A,outside_man,sun_bdehddycgcokjyqy.png,novel,11,7,3,NA
A,outside_man,sun_bezqwfdkvrlqbokm.png,familiar,12,6,2,1
A,outside_man,sun_bezqwfdkvrlqbokm.png,novel,13,12,2,NA
A,outside_man,sun_bfzqcqgupixpwrjl.png,familiar,12,6,2,1
A,outside_man,sun_bfzqcqgupixpwrjl.png,novel,11,14,7,2
A,outside_man,sun_bgxdivhitpqnkgdr.png,familiar,12,5,1,4
A,outside_man,sun_bgxdivhitpqnkgdr.png,novel,8,21,3,2
A,outside_man,sun_bjeuogjtlonvfbet.png,familiar,13,4,2,3
A,outside_man,sun_bjeuogjtlonvfbet.png,novel,16,9,5,NA
A,outside_man,sun_bntjemdeuiznfwzl.png,familiar,13,6,5,4
A,outside_man,sun_bntjemdeuiznfwzl.png,novel,15,12,5,2
A,outside_man,sun_bqyrpmzmnorhqiuj.png,familiar,10,9,5,9
A,outside_man,sun_bqyrpmzmnorhqiuj.png,novel,10,7,2,1
A,outside_man,sun_bwlcxhprfyrowoam.png,familiar,12,5,3,3
A,outside_man,sun_bwlcxhprfyrowoam.png,novel,20,2,4,1
A,outside_nat,sun_aatvwcgvlmswovhv.png,familiar,8,5,5,5
A,outside_nat,sun_aatvwcgvlmswovhv.png,novel,9,4,5,6
A,outside_nat,sun_adeqcskxygdmtcul.png,familiar,3,3,7,8
A,outside_nat,sun_adeqcskxygdmtcul.png,novel,9,6,10,4
A,outside_nat,sun_afjxqaxhirjblfsw.png,familiar,10,7,9,4
A,outside_nat,sun_afjxqaxhirjblfsw.png,novel,10,5,5,2
A,outside_nat,sun_ahqrsjhcscxlyxuq.png,familiar,11,7,3,3
A,outside_nat,sun_ahqrsjhcscxlyxuq.png,novel,8,11,2,2
A,outside_nat,sun_ailgpfxuysdriobj.png,familiar,9,7,5,4
A,outside_nat,sun_ailgpfxuysdriobj.png,novel,17,5,1,1
A,outside_nat,sun_aipbvhhqfltkzbkb.png,familiar,4,10,7,9
