imgfile,saw,said_no,said_maybe,said_yes
A/inside/sun_baremcyvmmyztjyo.png,FALSE,15,15,20
A/inside/sun_bxipjwerkfcyzyri.png,FALSE,9,13,20
A/outside_man/sun_abmwkkexqzjttlyv.png,FALSE,15,11,20
A/outside_man/sun_acojhtjciuciuhey.png,FALSE,17,7,20
A/outside_man/sun_aqmtgbkdkyckgdyy.png,FALSE,6,4,20
A/outside_nat/sun_aipbvhhqfltkzbkb.png,FALSE,5,9,20
B/outside_man/sun_aanszwuidyonrpfe.png,FALSE,14,6,20
B/outside_man/sun_abjkwkawctptshmr.png,FALSE,11,9,20
B/outside_man/sun_abspkwkylqkddaxr.png,FALSE,15,4,20
B/outside_man/sun_accbrnzxuvtlnfte.png,FALSE,13,9,20
A/outside_man/sun_aampbyuzlgrcrygt.png,FALSE,9,9,19
A/outside_nat/sun_afjxqaxhirjblfsw.png,FALSE,12,5,19
A/outside_nat/sun_ajdttxqzdyzrxwgb.png,FALSE,13,10,19
A/outside_nat/sun_anbimwjszaokyqiw.png,FALSE,9,7,19
A/outside_nat/sun_bdtazuhapgwbydoi.png,FALSE,10,8,19
A/outside_nat/sun_bgibqzzsihgolcxc.png,FALSE,3,3,19
A/outside_nat/sun_birbwwpwtfeczupo.png,FALSE,7,2,19
A/outside_nat/sun_bvtpjuydnnzmqcwv.png,FALSE,7,9,19
B/inside/sun_aajspcoepticvplv.png,FALSE,12,6,19
B/inside/sun_aaqhalpndqfclyti.png,FALSE,11,8,19
B/outside_man/sun_aaxppqqoemukaosc.png,FALSE,13,6,19
B/outside_man/sun_absfbbobjbzkaliz.png,FALSE,13,2,19
B/outside_man/sun_abumpirxzvwuqwvp.png,FALSE,9,4,19
B/outside_man/sun_abvparldyjthmojd.png,FALSE,13,7,19
B/outside_nat/sun_aaarffxrewgissla.png,FALSE,10,4,19
B/outside_nat/sun_aagkrwwxayqfeara.png,FALSE,7,4,19
A/inside/sun_bdmgmqsmmqkthilp.png,FALSE,8,7,18
A/outside_man/sun_aofpsyendjarjvaw.png,FALSE,11,12,18
A/outside_man/sun_apmhvwjpoidrgomc.png,FALSE,6,5,18
A/outside_man/sun_astlunkqpzghjdau.png,FALSE,11,12,18
A/outside_nat/sun_atkmuptskkmzkdpk.png,FALSE,3,8,18
B/inside/sun_aahutlxpfsmsmmqi.png,FALSE,12,10,18
B/outside_man/sun_aabgqlyidjxjvsvx.png,FALSE,15,6,18
B/outside_man/sun_aacclhfjjpnqvtbz.png,FALSE,14,7,18
B/outside_man/sun_aavgffdllieopxov.png,FALSE,14,3,18
B/outside_man/sun_aawwwkzunboneeyy.png,FALSE,15,3,18
B/outside_man/sun_abnrpxwqomrizaxl.png,FALSE,12,9,18
B/outside_man/sun_acfkaobymiptdeij.png,FALSE,12,10,18
B/outside_nat/sun_aafblbfkfftldfxp.png,FALSE,11,6,18
B/outside_nat/sun_aalcoddsgakiyibg.png,FALSE,7,9,18
B/outside_nat/sun_aamepsrqelgzeleo.png,FALSE,11,7,18
B/outside_nat/sun_aavmchfjuxkpmnuv.png,FALSE,15,2,18
A/inside/sun_abxzvqnkfecikftq.png,TRUE,19,9,17
A/inside/sun_agvgmjswjlfrnaqe.png,FALSE,14,8,17
A/inside/sun_aryhzqtgzrsfoydv.png,FALSE,14,12,17
A/inside/sun_auipycrgwmfcakvq.png,FALSE,14,10,17
B/inside/sun_aakejyolaigkvisc.png,FALSE,11,7,17
B/outside_man/sun_accnapeyuiitgzxz.png,FALSE,10,5,17
B/outside_nat/sun_aacjsxcwmkbgvpmb.png,FALSE,15,4,17
B/outside_nat/sun_aafqfjpechscyidz.png,FALSE,8,5,17
A/outside_man/sun_ahsknmkvyzjvzpic.png,FALSE,12,12,16
A/outside_man/sun_apmhvwjpoidrgomc.png,TRUE,13,9,16
A/outside_man/sun_bdehddycgcokjyqy.png,FALSE,13,10,16
